Cancer Type,Gender,Survival (%)
Colorectal,Male,99.2
Colorectal,Male,98.1
Colorectal,Male,99.1
Colorectal,Male,98.4
Colorectal,Male,98.5
Colorectal,Male,96.9
Colorectal,Male,97.8
Colorectal,Male,95.6
Colorectal,Male,97.1
Colorectal,Male,94.2
Colorectal,Male,96.4
Colorectal,Male,93.6
Colorectal,Male,97.7
Colorectal,Male,98.4
Colorectal,Male,97.2
Colorectal,Male,95.5
Colorectal,Male,94.2
Colorectal,Male,95.2
Colorectal,Male,95
Colorectal,Male,92.6
Colorectal,Male,91.9
Colorectal,Male,91.7
Colorectal,Male,92.8
Colorectal,Male,89.7
Colorectal,Male,90.4
Colorectal,Male,89.2
Colorectal,Male,90.2
Colorectal,Male,87
Colorectal,Male,89.9
Colorectal,Male,87.3
Colorectal,Male,88
Colorectal,Male,84.6
Colorectal,Male,93.6
Colorectal,Male,94.5
Colorectal,Male,94.7
Colorectal,Male,92.1
Colorectal,Male,86.5
Colorectal,Male,87.4
Colorectal,Male,88.1
Colorectal,Male,83.7
Colorectal,Male,80.7
Colorectal,Male,82.1
Colorectal,Male,81.8
Colorectal,Male,76.5
Colorectal,Male,77.7
Colorectal,Male,76.4
Colorectal,Male,77.3
Colorectal,Male,71.1
Colorectal,Male,74.3
Colorectal,Male,72.2
Colorectal,Male,73.8
Colorectal,Male,68.9
Colorectal,Male,59.4
Colorectal,Male,60.4
Colorectal,Male,57.2
Colorectal,Male,48.2
Colorectal,Male,38.3
Colorectal,Male,38.5
Colorectal,Male,35.9
Colorectal,Male,30.1
Colorectal,Male,25.8
Colorectal,Male,25.1
Colorectal,Male,24.2
Colorectal,Male,19.6
Colorectal,Male,21.4
Colorectal,Male,18.5
Colorectal,Male,17.9
Colorectal,Male,14.3
Colorectal,Male,18.7
Colorectal,Male,14.3
Colorectal,Male,14.4
Colorectal,Male,11.9
Hodgkin lymphoma,Female,94.6
Hodgkin lymphoma,Female,84.8
Hodgkin lymphoma,Female,99.8
Hodgkin lymphoma,Female,98.3
Hodgkin lymphoma,Female,94.1
Hodgkin lymphoma,Female,87.9
Hodgkin lymphoma,Female,99.7
Hodgkin lymphoma,Female,96.6
Hodgkin lymphoma,Female,93.4
Hodgkin lymphoma,Female,86.9
